"neighborhood","crimetype","occurrence","family.with.kids.severity.","Student.severity.","elderly.severity."
"BITTERLAKE","THEFT-BUILDING",329,5,4,5
"BITTERLAKE","THEFT-SHOPLIFT",371,1,2,1
"BITTERLAKE","TRESPASS",332,4,2,5
"BITTERLAKE","WEAPON",72,9,8,9
"BRIGHTON/DUNLAP","",5,NA,NA,NA
"BRIGHTON/DUNLAP","AGGRAVATED ASSAULT",375,7,7,8
"BRIGHTON/DUNLAP","AGGRAVATED ASSAULT-DV",289,5,5,6
"BRIGHTON/DUNLAP","ARSON",22,8,8,10
"BRIGHTON/DUNLAP","BURGLARY-COMMERCIAL",181,1,1,3
"BRIGHTON/DUNLAP","BURGLARY-COMMERCIAL-SECURE PARKING",2,1,1,3
"BRIGHTON/DUNLAP","BURGLARY-RESIDENTIAL",1148,8,7,4
"BRIGHTON/DUNLAP","BURGLARY-RESIDENTIAL-SECURE PARKING",28,8,7,4
"BRIGHTON/DUNLAP","CAR PROWL",1133,5,5,5
"BRIGHTON/DUNLAP","DISORDERLY CONDUCT",3,3,4,4
"BRIGHTON/DUNLAP","DUI",223,6,7,5
"BRIGHTON/DUNLAP","FAMILY OFFENSE-NONVIOLENT",180,3,4,4
"BRIGHTON/DUNLAP","GAMBLE",2,3,3,3
"BRIGHTON/DUNLAP","HOMICIDE",19,10,10,10
"BRIGHTON/DUNLAP","LIQUOR LAW VIOLATION",31,1,2,2
"BRIGHTON/DUNLAP","LOITERING",1,0,0,0
"BRIGHTON/DUNLAP","MOTOR VEHICLE THEFT",1027,1,2,2
"BRIGHTON/DUNLAP","NARCOTIC",329,10,9,8
"BRIGHTON/DUNLAP","PORNOGRAPHY",1,0,0,0
"BRIGHTON/DUNLAP","PROSTITUTION",33,8,7,7
"BRIGHTON/DUNLAP","RAPE",36,9,8,9
"BRIGHTON/DUNLAP","ROBBERY-COMMERCIAL",45,5,5,5
"BRIGHTON/DUNLAP","ROBBERY-RESIDENTIAL",43,8,7,9
"BRIGHTON/DUNLAP","ROBBERY-STREET",475,7,7,9
"BRIGHTON/DUNLAP","SEX OFFENSE-OTHER",101,8,6,6
"BRIGHTON/DUNLAP","THEFT-ALL OTHER",702,3,2,3
"BRIGHTON/DUNLAP","THEFT-BICYCLE",51,2,4,2
"BRIGHTON/DUNLAP","THEFT-BUILDING",181,5,4,5
"BRIGHTON/DUNLAP","THEFT-SHOPLIFT",85,1,2,1
"BRIGHTON/DUNLAP","TRESPASS",146,4,2,5
"BRIGHTON/DUNLAP","WEAPON",173,9,8,9
"CAPITOL HILL","",10,NA,NA,NA
"CAPITOL HILL","AGGRAVATED ASSAULT",1222,7,7,8
"CAPITOL HILL","AGGRAVATED ASSAULT-DV",317,5,5,6
"CAPITOL HILL","ARSON",56,8,8,10
"CAPITOL HILL","BURGLARY-COMMERCIAL",1198,1,1,3
"CAPITOL HILL","BURGLARY-COMMERCIAL-SECURE PARKING",84,1,1,3
"CAPITOL HILL","BURGLARY-RESIDENTIAL",1744,8,7,4
"CAPITOL HILL","BURGLARY-RESIDENTIAL-SECURE PARKING",1135,8,7,4
"CAPITOL HILL","CAR PROWL",6934,5,5,5
"CAPITOL HILL","DISORDERLY CONDUCT",28,3,4,4
"CAPITOL HILL","DUI",951,6,7,5
"CAPITOL HILL","FAMILY OFFENSE-NONVIOLENT",183,3,4,4
"CAPITOL HILL","HOMICIDE",11,10,10,10
"CAPITOL HILL","LIQUOR LAW VIOLATION",165,1,2,2
"CAPITOL HILL","LOITERING",4,0,0,0
"CAPITOL HILL","MOTOR VEHICLE THEFT",2108,1,2,2
"CAPITOL HILL","NARCOTIC",1207,10,9,8
